range,userId,firstName,lastName,contactNo,email,type,stripeCustomerId,stripeDefaultSourceId,stripeAccountId,chargePercentage,password,selectedContentTypes,imageUrl,latitude,longitude,created,dob,paymentCards,vehicle
5,2BBui,John,Customer,447966265016,John.Customer@email.com,customer,cus_Bxeiko7yw4hcgH,card_1CIFlgJf2h7PvwluK2KHun6D,,0,"$argon2i$v=19$m=65536,t=2,p=1$w61m6x8Nuy8Mr67d/VEWNg$Ah69QMTsN+ICkXBqfG/4dpvj5xY1ITz1Wq+b5E8Cq8Y",,,51.49699337,-0.09433877,[NOW-3],02/06/1975,ref://data/defaultPaymentCards.json,ref://data/vehicleDetails.json
5,2BBui1,Robert,Smith,447966265016,Robert.Smith@email.com,customer,cus_Bxeiko7yw4hcgH,card_1BZjOtJf2h7PvwlulrG7Lrbx,,0,"$argon2i$v=19$m=65536,t=2,p=1$w61m6x8Nuy8Mr67d/VEWNg$Ah69QMTsN+ICkXBqfG/4dpvj5xY1ITz1Wq+b5E8Cq8Y",,,51.55040038,-0.10260881,[NOW-3],01/09/1975,ref://data/defaultPaymentCards.json,ref://data/vehicleDetails.json
5,2BBui2,Michael,Jones,447966265016,Michael.Jones@email.com,customer,cus_Bxeiko7yw4hcgH,card_1BZjOtJf2h7PvwlulrG7Lrbx,,0,"$argon2i$v=19$m=65536,t=2,p=1$w61m6x8Nuy8Mr67d/VEWNg$Ah69QMTsN+ICkXBqfG/4dpvj5xY1ITz1Wq+b5E8Cq8Y",,,51.49993395,-0.21547285,[NOW-3],05/01/1976,ref://data/defaultPaymentCards.json,ref://data/vehicleDetails.json
5,2BBui3,William,Taylor,447966265016,William.Taylor@email.com,customer,cus_Bxeiko7yw4hcgH,card_1BZjOtJf2h7PvwlulrG7Lrbx,,0,"$argon2i$v=19$m=65536,t=2,p=1$w61m6x8Nuy8Mr67d/VEWNg$Ah69QMTsN+ICkXBqfG/4dpvj5xY1ITz1Wq+b5E8Cq8Y",,,51.53666946,-0.16631791,[NOW-3],29/07/1976,ref://data/defaultPaymentCards.json,ref://data/vehicleDetails.json
5,2BBui4,David,Williams,447966265016,David.Williams@email.com,customer,cus_Bxeiko7yw4hcgH,card_1BZjOtJf2h7PvwlulrG7Lrbx,,0,"$argon2i$v=19$m=65536,t=2,p=1$w61m6x8Nuy8Mr67d/VEWNg$Ah69QMTsN+ICkXBqfG/4dpvj5xY1ITz1Wq+b5E8Cq8Y",,,51.52718344,-0.12332824,[NOW-3],10/03/1977,ref://data/defaultPaymentCards.json,ref://data/vehicleDetails.json
5,2BBui5,Richard,Brown,447966265016,Richard.Brown@email.com,customer,cus_Bxeiko7yw4hcgH,card_1BZjOtJf2h7PvwlulrG7Lrbx,,0,"$argon2i$v=19$m=65536,t=2,p=1$w61m6x8Nuy8Mr67d/VEWNg$Ah69QMTsN+ICkXBqfG/4dpvj5xY1ITz1Wq+b5E8Cq8Y",,,51.4704186,-0.13029717,[NOW-3],15/08/1977,ref://data/defaultPaymentCards.json,ref://data/vehicleDetails.json
5,2BBui6,Joseph,Davies,447966265016,Joseph.Davies@email.com,customer,cus_Bxeiko7yw4hcgH,card_1BZjOtJf2h7PvwlulrG7Lrbx,,0,"$argon2i$v=19$m=65536,t=2,p=1$w61m6x8Nuy8Mr67d/VEWNg$Ah69QMTsN+ICkXBqfG/4dpvj5xY1ITz1Wq+b5E8Cq8Y",,,51.53409248,-0.15396801,[NOW-3],01/02/1978,ref://data/defaultPaymentCards.json,ref://data/vehicleDetails.json
5,2BBui7,Thomas,Evans,447966265016,Thomas.Evans@email.com,customer,cus_Bxeiko7yw4hcgH,card_1BZjOtJf2h7PvwlulrG7Lrbx,,0,"$argon2i$v=19$m=65536,t=2,p=1$w61m6x8Nuy8Mr67d/VEWNg$Ah69QMTsN+ICkXBqfG/4dpvj5xY1ITz1Wq+b5E8Cq8Y",,,51.47406248,-0.18639868,[NOW-3],21/05/1978,ref://data/defaultPaymentCards.json,ref://data/vehicleDetails.json
5,2BBui8,Charles,Wilson,447966265016,Charles.Wilson@email.com,customer,cus_Bxeiko7yw4hcgH,card_1BZjOtJf2h7PvwlulrG7Lrbx,,0,"$argon2i$v=19$m=65536,t=2,p=1$w61m6x8Nuy8Mr67d/VEWNg$Ah69QMTsN+ICkXBqfG/4dpvj5xY1ITz1Wq+b5E8Cq8Y",,,51.50590203,-0.15275896,[NOW-3],09/09/1978,ref://data/defaultPaymentCards.json,ref://data/vehicleDetails.json
5,2BBui9,Christopher,Thomas,447966265016,Christopher.Thomas@email.com,customer,cus_Bxeiko7yw4hcgH,card_1BZjOtJf2h7PvwlulrG7Lrbx,,0,"$argon2i$v=19$m=65536,t=2,p=1$w61m6x8Nuy8Mr67d/VEWNg$Ah69QMTsN+ICkXBqfG/4dpvj5xY1ITz1Wq+b5E8Cq8Y",,,51.50056378,-0.1603396,[NOW-3],15/02/1979,ref://data/defaultPaymentCards.json,ref://data/vehicleDetails.json
